BEGIN_DATETIME,END_DATETIME,EPISODE_ID,EVENT_ID,INJ_DIR,INJ_IND,DEAD_DIR,DEAD_IND,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,YEARMONTH,LOCATION_INDEX,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,FATALITY_DATE,FATALITY_ID,FATALITY_TYPE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
2021-04-11 11:15:00.000,2021-04-11 11:15:00.000,156287,943564,0,0,0,1,28.47,-82.52,28.47,-82.52,202104,1,ESE,BERKELEY,28.47,-82.52,2021-04-11,42721,I,17,F,Other
2021-04-09 18:10:00.000,2021-04-09 18:10:00.000,156639,946768,0,0,1,0,,,,,,,,,,,2021-04-09,42847,D,48,M,Mobile/Trailer Home
2021-05-17 18:00:00.000,2021-05-17 21:00:00.000,158930,961426,0,0,1,0,30.1233,-92.1345,30.2727,-92.0199,202105,1,NW,MAURICE,30.1233,-92.1345,2021-05-17,43192,D,46,M,Vehicle/Towed Trailer
2021-05-10 01:30:00.000,2021-05-10 01:30:00.000,156930,948503,0,0,0,1,,,,,,,,,,,2021-05-10,42861,I,80,F,Permanent Home
2021-06-13 20:25:00.000,2021-06-13 20:25:00.000,158249,956726,0,0,1,0,44.606,-87.8849,44.606,-87.8849,202106,1,SSE,GREEN BAY ENTRANCE LIGHT,44.606,-87.8849,2021-06-13,43052,D,28,M,Boating
2021-06-28 21:00:00.000,2021-06-28 21:10:00.000,160072,967792,0,0,1,0,30.3177,-104.0197,30.3162,-104.0261,202106,1,S,MARFA,30.3177,-104.0197,2021-06-28,43324,D,,M,Vehicle/Towed Trailer
2021-01-29 15:30:00.000,2021-01-29 18:30:00.000,155647,938895,8,0,1,0,32.5484,-117.0232,32.5485,-117.019,202101,1,E,SAN YSIDRO,32.5484,-117.0232,2021-01-29,42483,D,,,Other
2021-01-13 00:00:00.000,2021-01-13 03:00:00.000,154844,938288,1,0,1,0,45.5994,-122.0391,45.5992,-122.0402,202101,1,NW,DODSON,45.5994,-122.0391,2021-01-13,42492,D,50,F,Vehicle/Towed Trailer
2021-02-18 07:59:00.000,2021-02-18 13:38:00.000,155272,936331,0,0,0,1,20.9611,-156.5692,20.6725,-156.0739,202102,1,SSW,KAHAKULOA,20.9611,-156.5692,2021-02-18,42429,I,26,F,In Water
2021-02-27 13:51:00.000,2021-02-27 16:54:00.000,155279,936389,0,0,0,2,20.9455,-156.5385,20.664,-156.0743,202102,1,NW,WAIHEE,20.9455,-156.5385,2021-02-27,42430,I,27,M,In Water
2021-05-06 15:56:00.000,2021-05-06 15:56:00.000,158420,957686,1,0,1,0,36.3778,-86.9815,36.3778,-86.9815,202105,1,SSW,COOPERTOWN,36.3778,-86.9815,2021-05-06,43232,D,49,M,Other
2021-05-03 15:31:00.000,2021-05-03 15:51:00.000,159172,962770,0,0,1,0,32.4836,-83.7158,32.6029,-83.6008,202105,1,NNE,PERRY,32.4836,-83.7158,2021-05-03,43210,D,55,F,Permanent Home
2021-05-04 14:31:00.000,2021-05-04 14:31:00.000,158599,959086,0,0,1,0,37.5019,-79.1257,37.5019,-79.1257,202105,1,ENE,MONROE,37.5019,-79.1257,2021-05-04,43227,D,34,M,Under Tree
2021-05-17 09:45:00.000,2021-05-17 14:45:00.000,158930,960716,0,0,1,0,30.2248,-93.2212,30.3187,-93.2002,202105,1,SE,LAKE CHARLES LAKE,30.2248,-93.2212,2021-05-17,43188,D,61,M,Vehicle/Towed Trailer
2021-03-27 18:38:00.000,2021-03-27 19:05:00.000,155842,941492,3,0,1,0,32.0982,-94.3089,32.2012,-94.0669,202103,1,SE,CARTHAGE,32.0982,-94.3089,2021-03-27,42901,D,46,F,Mobile/Trailer Home
2021-06-18 23:00:00.000,2021-06-19 07:00:00.000,158305,957371,1,0,1,0,39.2007,-86.5303,39.1972,-86.4802,202106,1,E,ARLINGTON,39.2007,-86.5303,2021-06-18,43164,D,31,M,Vehicle/Towed Trailer
2021-03-27 21:42:00.000,2021-03-27 21:42:00.000,155898,940484,0,0,1,0,39.9619,-86.0696,39.9619,-86.0696,202103,1,NNW,INDIANAPOLIS METRO A,39.9619,-86.0696,2021-03-27,42895,D,40,M,Outside/Open Areas
2021-09-01 21:15:00.000,2021-09-01 23:45:00.000,163518,987245,0,0,3,0,40.8825,-74.1289,40.8506,-74.1345,202109,1,NE,CLIFTON,40.8825,-74.1289,2021-09-01,44640,D,70,M,Vehicle/Towed Trailer
2021-07-28 05:10:00.000,2021-07-28 05:10:00.000,159980,968238,0,0,0,1,41.5386,-88.0385,41.5386,-88.0385,202107,1,SE,FOREST PARK,41.5386,-88.0385,2021-07-28,43338,I,85,M,Permanent Home
2021-07-07 14:30:00.000,2021-07-07 14:30:00.000,159556,965726,0,0,1,0,30.2646,-81.7064,30.2646,-81.7064,202107,1,NNW,VENETIA,30.2646,-81.7064,2021-07-07,43320,D,25,M,Vehicle/Towed Trailer
2021-09-01 21:30:00.000,2021-09-01 22:00:00.000,163555,987588,0,0,3,0,40.7453,-73.8139,40.7458,-73.8138,202109,1,WSW,AUBURNDALE,40.7453,-73.8139,2021-09-01,44667,D,,F,Permanent Home
2021-09-01 21:30:00.000,2021-09-01 22:00:00.000,163555,987589,0,0,1,0,40.895,-73.8221,40.8936,-73.8249,202109,1,NW,PELHAM MANOR,40.895,-73.8221,2021-09-01,44670,D,33,M,Vehicle/Towed Trailer
2021-09-01 22:00:00.000,2021-09-01 22:30:00.000,163555,987560,0,0,2,0,40.7115,-73.7784,40.7116,-73.7779,202109,1,SW,HOLLIS,40.7115,-73.7784,2021-09-01,44659,D,43,F,Permanent Home
2021-09-01 22:00:00.000,2021-09-01 22:30:00.000,163555,987561,0,0,1,0,40.7424,-73.848,40.742,-73.8508,202109,1,WSW,FLUSHING,40.7424,-73.848,2021-09-01,44661,D,48,F,Permanent Home
2021-09-01 21:30:00.000,2021-09-01 22:00:00.000,163555,987590,0,0,1,0,41.0659,-73.8635,41.0632,-73.8632,202109,1,SE,TARRYTOWN,41.0659,-73.8635,2021-09-01,44671,D,69,M,Vehicle/Towed Trailer
2021-09-01 21:30:00.000,2021-09-01 22:00:00.000,163555,987591,0,0,1,0,41.0204,-73.6952,41.024,-73.6964,202109,1,SW,COUNTRY RIDGE ESTATE,41.0204,-73.6952,2021-09-01,44672,D,,,Vehicle/Towed Trailer
2021-09-01 21:00:00.000,2021-09-01 22:30:00.000,163555,987564,0,0,3,0,40.7384,-73.902,40.7386,-73.9016,202109,1,SE,WOODSIDE,40.7384,-73.902,2021-09-01,44662,D,2,M,Permanent Home
2021-09-01 22:00:00.000,2021-09-01 22:30:00.000,163555,987565,0,0,1,0,40.7315,-73.8813,40.7317,-73.8809,202109,1,SSW,CORONA,40.7315,-73.8813,2021-09-01,44665,D,86,F,Permanent Home
2021-09-01 22:00:00.000,2021-09-01 22:30:00.000,163555,987566,0,0,1,0,40.686,-73.8714,40.6856,-73.8713,202109,1,NE,BROOKLYN,40.686,-73.8714,2021-09-01,44666,D,66,M,Permanent Home
2021-07-16 14:15:00.000,2021-07-17 06:00:00.000,160198,968181,0,0,1,0,38.32,-88.9185,38.2581,-89.0427,202107,1,W,MT VERNON,38.32,-88.9185,2021-07-17,43340,D,25,F,Vehicle/Towed Trailer
2021-07-30 00:00:00.000,2021-07-30 04:00:00.000,161577,975739,0,0,1,0,38.3204,-84.0658,38.326,-84.0061,202107,1,E,MILLER,38.3204,-84.0658,2021-07-30,44248,D,66,F,Mobile/Trailer Home
